,exposure,chemi
1015,0.0,000117-81-7
1016,0.0,000117-81-7
1017,0.0,000117-81-7
1018,0.0,000117-81-7
1019,0.0,000117-81-7
1020,0.0,000117-81-7
1021,0.0,000117-81-7
1022,0.0,000117-81-7
1023,0.0,000117-81-7
1024,0.0,000117-81-7
1025,0.0,000117-81-7
1026,0.0,000117-81-7
1027,0.0,000117-81-7
1028,0.0,000117-81-7
1029,0.0,000117-81-7
1030,0.0,000117-81-7
1031,0.0,000117-81-7
1032,0.0,000117-81-7
1033,0.0,000117-81-7
1034,0.0,000117-81-7
1035,0.0,000117-81-7
1036,0.0,000117-81-7
1037,0.0,000117-81-7
1038,0.0,000117-81-7
1039,0.0,000117-81-7
1040,0.0,000117-81-7
1041,0.0,000117-81-7
1042,0.0,000117-81-7
1043,0.0,000117-81-7
1044,0.0,000117-81-7
1045,0.0,000117-81-7
1046,0.0,000117-81-7
1047,0.0,000117-81-7
1048,0.0,000117-81-7
1049,0.0,000117-81-7
1050,0.0,000117-81-7
1051,0.0,000117-81-7
